STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,airpol,Air pollutants and greenhouse gases,src_crf,"Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC)",geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2004,,562307.62,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2005,,562371.03,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2006,,551179.6,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2007,,568040.68,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2008,,536854.85,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2009,,478404.17,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2010,,483204.66,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2011,,476987.01,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2012,,466539.36,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2013,,414502.59,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2014,,392622.99,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2015,,401571.53,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2016,,396023.58,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2017,,406748.92,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2018,,379585.1,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2019,,369720.91,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2020,,340171.95,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2021,,374094.92,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2022,,373694.33,,,,,
dataflow,ESTAT:ENV_AIR_GGE(1.0),Greenhouse gas emissions by source sector,A,Annual,THS_T,Thousand tonnes,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTXMEMO,Total (excluding memo items),IT,Italy,2023,,331152.95,,,,,
